energy,diameter,dfec_lynch
20,76.5166340509,481.836547124
20,76.8493150685,450.157183867
20,77.1819960861,415.808370643
20,77.5146771037,382.674555012
20,77.8473581213,352.792189656
20,78.1800391389,326.457124373
20,78.5127201566,303.710599008
20,78.8454011742,284.855422383
20,79.1780821918,270.207318475
20,79.5107632094,260.060801548
20,79.843444227,254.291190368
20,80.1761252446,251.697065659
20,80.5088062622,251.61078382
20,80.8414872798,253.631436498
20,81.1741682975,257.469317878
20,81.5068493151,262.899794761
20,81.8395303327,269.741371566
20,82.1722113503,277.843267651
20,82.5048923679,287.077671505
20,82.8375733855,297.334535107
20,83.1702544031,308.517933324
20,83.5029354207,320.543405951
20,83.8356164384,333.335973418
20,84.168297456,346.828589388
20,84.5009784736,360.960945831
20,84.8336594912,375.678532884
20,85.1663405088,390.682826622
20,85.4990215264,404.650903598
20,85.831702544,416.671557897
20,86.1643835616,425.441386418
20,86.4970645793,429.283064228
20,86.8297455969,427.132331834
20,87.1624266145,418.172980263
20,87.4951076321,401.782270907
20,87.8277886497,380.42761876
20,88.1604696673,358.210410021
20,88.4931506849,337.292403176
20,88.8258317025,319.188525848
20,89.1585127202,305.076909997
20,89.4911937378,295.377541096
20,89.8238747554,289.709333503
20,90.156555773,287.960674689
20,90.4892367906,289.161890708
20,90.8219178082,292.573610949
20,91.1545988258,297.798934337
20,91.4872798434,304.563230711
20,91.8199608611,312.65994919
20,92.1526418787,321.926179928
20,92.4853228963,332.229263926
20,92.8180039139,343.458601567
20,93.1506849315,355.520302162
20,93.4833659491,368.333489755
20,93.8160469667,381.827659918
20,94.1487279843,395.883388248
20,94.481409002,409.938660347
20,94.8140900196,423.526942272
20,95.1467710372,436.347614346
20,95.4794520548,448.164341542
20,95.8121330724,458.780662828
20,96.14481409,468.028405221
20,96.4774951076,475.761342265
20,96.8101761252,481.850595859
20,97.1428571429,486.258582952
20,97.4755381605,489.137690455
20,97.8082191781,490.247174698
20,98.1409001957,489.453202548
20,98.4735812133,486.656156482
20,98.8062622309,481.77299318
20,99.1389432485,474.731857628
20,99.4716242661,465.36548028
20,99.8043052838,452.685601333
20,100.136986301,436.142217203
20,100.469667319,418.315283425
20,100.802348337,401.56998125
20,101.135029354,386.139179836
20,101.467710372,371.109269658
20,101.800391389,356.198065956
20,102.133072407,341.285312281
20,102.465753425,326.310143658
20,102.798434442,311.240109633
20,103.13111546,296.348545094
20,103.463796477,282.648440491
20,103.796477495,270.719391734
20,104.129158513,260.970251657
20,104.46183953,253.727762665
20,104.794520548,249.26574626
20,105.127201566,247.803423073
20,105.459882583,248.913595458
20,105.792563601,251.922459983
20,106.125244618,255.965597852
20,106.457925636,259.944112394
20,106.790606654,263.193678844
20,107.123287671,265.216832027
20,107.455968689,265.221428861
20,107.788649706,261.955544582
20,108.121330724,254.602438134
20,108.454011742,242.534672748
20,108.786692759,226.861238944
20,109.119373777,210.68996425
20,109.452054795,195.6656242
20,109.784735812,182.905909047
20,110.11741683,173.017085432
20,110.450097847,165.809851463
20,110.782778865,161.331791022
20,111.115459883,159.718162373
20,111.4481409,160.863338672
20,111.780821918,164.033824267
20,112.113502935,168.829794215
20,112.446183953,175.008847043
20,112.778864971,182.395538842
20,113.111545988,190.853679912
20,113.444227006,200.273053536
20,113.776908023,210.561883183
20,114.109589041,221.642121031
20,114.442270059,233.446309534
20,114.774951076,245.915380098
20,115.107632094,258.99705721
20,115.440313112,272.644668371
20,115.772994129,286.816226719
20,116.105675147,301.473719991
20,116.438356164,316.582542764
20,116.771037182,332.11103613
20,117.1037182,348.030117369
20,117.436399217,364.312965291
20,117.769080235,380.934767215
20,118.101761252,397.87249976
20,118.43444227,415.040103059
20,118.767123288,432.033168822
20,119.099804305,448.357955471
20,119.432485323,463.024955383
20,119.765166341,475.080608673
20,120.097847358,483.264696128
20,120.430528376,486.730970126
20,120.763209393,484.808827887
20,121.095890411,476.420342446
20,121.428571429,460.851800209
20,121.761252446,440.844719215
20,122.093933464,418.552113238
20,122.426614481,395.177153824
20,122.759295499,371.599258764
20,123.091976517,348.515663974
20,123.424657534,325.842111768
20,123.757338552,302.685468273
20,124.090019569,280.37736807
20,124.422700587,260.473469746
20,124.755381605,242.988601804
20,125.088062622,227.760505998
20,125.42074364,214.854864218
20,125.753424658,204.377202805
20,126.086105675,196.442216301
20,126.418786693,191.164120931
20,126.75146771,188.616380961
20,127.084148728,188.32535959
20,127.416829746,189.798141453
20,127.749510763,192.773417997
20,128.082191781,196.814075468
20,128.414872798,201.064420182
20,128.747553816,204.986758804
20,129.080234834,208.185410439
20,129.412915851,210.338110122
20,129.745596869,211.009690474
20,130.078277886,209.268248417
20,130.410958904,204.453269493
20,130.743639922,196.286786624
20,131.076320939,186.736652446
20,131.409001957,177.596383015
20,131.741682975,169.870097469
20,132.074363992,164.002714043
20,132.40704501,159.916729184
20,132.739726027,157.719275181
20,133.072407045,157.554497089
20,133.405088063,159.56654814
20,133.73776908,163.601941038
20,134.070450098,169.13032079
20,134.403131115,175.888193032
20,134.735812133,183.707968149
20,135.068493151,192.465190324
20,135.401174168,201.737158758
20,135.733855186,210.812191367
20,136.066536204,219.25993375
20,136.399217221,226.756740582
20,136.731898239,233.036602127
20,137.064579256,237.872326211
20,137.397260274,241.286066248
20,137.729941292,244.343620907
20,138.062622309,247.767199787
20,138.395303327,251.992972125
20,138.727984344,257.348640151
20,139.060665362,263.950520273
20,139.39334638,271.386757043
20,139.726027397,279.056874065
20,140.058708415,286.193881691
20,140.391389432,291.81005132
20,140.72407045,295.155696061
20,141.056751468,295.699020897
20,141.389432485,293.008227142
20,141.722113503,287.740765061
20,142.054794521,281.999396909
20,142.387475538,276.911727651
20,142.720156556,273.172358528
20,143.052837573,271.06642582
20,143.385518591,270.494565363
20,143.718199609,271.200816631
20,144.050880626,273.124566871
20,144.383561644,275.915014121
20,144.716242661,278.94777846
20,145.048923679,281.366024756
20,145.381604697,282.536134079
20,145.714285714,282.146772833
20,146.046966732,280.439243033
20,146.37964775,277.498034682
20,146.712328767,273.326554051
20,147.045009785,267.905812639
20,147.377690802,260.936576509
20,147.71037182,252.170263654
20,148.043052838,243.441922756
20,148.375733855,235.833958408
20,148.708414873,229.591945339
20,149.04109589,224.775573027
20,149.373776908,221.466455622
20,149.706457926,219.790738582
20,150.039138943,219.875163723
20,150.371819961,221.839994031
20,150.704500978,225.623782966
20,151.037181996,230.26186291
20,151.369863014,235.068393165
20,151.702544031,239.621829844
20,152.035225049,243.601092955
20,152.367906067,246.744306759
20,152.700587084,248.684974598
20,153.033268102,248.658571179
20,153.365949119,245.726186222
20,153.698630137,239.811716068
20,154.031311155,231.904122077
20,154.363992172,222.424108338
20,154.69667319,211.358484295
20,155.029354207,198.357119496
20,155.362035225,183.302539474
20,155.694716243,167.590007862
20,156.02739726,152.983322591
20,156.360078278,140.471366489
